     23.0000 0.000000000000       5032           1.00
     24.0000 0.100000000000      18001           1.11
     25.0000 0.200000000000      27141           1.25
     26.0000 0.300000000000      44154           1.43
     26.0000 0.400000000000      44154           1.67
     27.0000 0.500000000000      58368           2.00
     27.0000 0.550000000000      58368           2.22
     27.0000 0.600000000000      58368           2.50
     28.0000 0.650000000000      74043           2.86
     28.0000 0.700000000000      74043           3.33
     28.0000 0.750000000000      74043           4.00
     28.0000 0.775000000000      74043           4.44
     29.0000 0.800000000000      82288           5.00
     29.0000 0.825000000000      82288           5.71
     29.0000 0.850000000000      82288           6.67
     29.0000 0.875000000000      82288           8.00
     30.0000 0.887500000000      85964           8.89
     30.0000 0.900000000000      85964          10.00
     30.0000 0.912500000000      85964          11.43
     31.0000 0.925000000000      87718          13.33
     32.0000 0.937500000000      88726          16.00
     32.0000 0.943750000000      88726          17.78
     33.0000 0.950000000000      89326          20.00
     35.0000 0.956250000000      90249          22.86
     36.0000 0.962500000000      90616          26.67
     38.0000 0.968750000000      91251          32.00
     39.0000 0.971875000000      91556          35.56
     40.0000 0.975000000000      91837          40.00
     41.0000 0.978125000000      92153          45.71
     42.0000 0.981250000000      92454          53.33
     43.0000 0.984375000000      92710          64.00
     43.0000 0.985937500000      92710          71.11
     44.0000 0.987500000000      92934          80.00
     44.0000 0.989062500000      92934          91.43
     45.0000 0.990625000000      93122         106.67
     46.0000 0.992187500000      93263         128.00
     47.0000 0.992968750000      93404         142.22
     47.0000 0.993750000000      93404         160.00
     48.0000 0.994531250000      93513         182.86
     49.0000 0.995312500000      93603         213.33
     49.0000 0.996093750000      93603         256.00
     50.0000 0.996484375000      93694         284.44
     50.0000 0.996875000000      93694         320.00
     51.0000 0.997265625000      93756         365.71
     51.0000 0.997656250000      93756         426.67
     52.0000 0.998046875000      93807         512.00
     52.0000 0.998242187500      93807         568.89
     53.0000 0.998437500000      93846         640.00
     53.0000 0.998632812500      93846         731.43
     54.0000 0.998828125000      93869         853.33
     55.0000 0.999023437500      93885        1024.00
     55.0000 0.999121093750      93885        1137.78
     56.0000 0.999218750000      93898        1280.00
     56.0000 0.999316406250      93898        1462.86
     57.0000 0.999414062500      93911        1706.67
     58.0000 0.999511718750      93923        2048.00
     58.0000 0.999560546875      93923        2275.56
     59.0000 0.999609375000      93935        2560.00
     59.0000 0.999658203125      93935        2925.71
     59.0000 0.999707031250      93935        3413.33
     60.0000 0.999755859375      93939        4096.00
     61.0000 0.999780273438      93944        4551.11
     61.0000 0.999804687500      93944        5120.00
     62.0000 0.999829101563      93947        5851.43
     63.0000 0.999853515625      93949        6826.67
     64.0000 0.999877929688      93953        8192.00
     64.0000 0.999890136719      93953        9102.22
     64.0000 0.999902343750      93953       10240.00
     64.0000 0.999914550781      93953       11702.86
     66.0000 0.999926757813      93955       13653.33
     67.0000 0.999938964844      93957       16384.00
     67.0000 0.999945068359      93957       18204.44
     67.0000 0.999951171875      93957       20480.00
     67.0000 0.999957275391      93957       23405.71
     71.0000 0.999963378906      93959       27306.67
     71.0000 0.999969482422      93959       32768.00
     71.0000 0.999972534180      93959       36408.89
     71.0000 0.999975585938      93959       40960.00
     71.0000 0.999978637695      93959       46811.43
     72.0000 0.999981689453      93960       54613.33
     72.0000 0.999984741211      93960       65536.00
     72.0000 0.999986267090      93960       72817.78
     72.0000 0.999987792969      93960       81920.00
     72.0000 0.999989318848      93960       93622.86
     79.0000 0.999990844727      93961      109226.67

