     14.0000 0.000000000000         55           1.00
     16.0000 0.100000000000      17010           1.11
     17.0000 0.200000000000      24252           1.25
     18.0000 0.300000000000      38161           1.43
     18.0000 0.400000000000      38161           1.67
     19.0000 0.500000000000      51896           2.00
     19.0000 0.550000000000      51896           2.22
     20.0000 0.600000000000      64216           2.50
     20.0000 0.650000000000      64216           2.86
     21.0000 0.700000000000      69930           3.33
     21.0000 0.750000000000      69930           4.00
     22.0000 0.775000000000      72828           4.44
     23.0000 0.800000000000      74991           5.00
     24.0000 0.825000000000      76849           5.71
     26.0000 0.850000000000      79661           6.67
     27.0000 0.875000000000      80817           8.00
     29.0000 0.887500000000      82739           8.89
     30.0000 0.900000000000      83600          10.00
     31.0000 0.912500000000      84401          11.43
     33.0000 0.925000000000      85896          13.33
     34.0000 0.937500000000      86729          16.00
     35.0000 0.943750000000      87573          17.78
     36.0000 0.950000000000      88439          20.00
     36.0000 0.956250000000      88439          22.86
     37.0000 0.962500000000      89293          26.67
     38.0000 0.968750000000      90054          32.00
     38.0000 0.971875000000      90054          35.56
     38.0000 0.975000000000      90054          40.00
     39.0000 0.978125000000      90601          45.71
     39.0000 0.981250000000      90601          53.33
     40.0000 0.984375000000      91000          64.00
     41.0000 0.985937500000      91254          71.11
     41.0000 0.987500000000      91254          80.00
     42.0000 0.989062500000      91422          91.43
     43.0000 0.990625000000      91537         106.67
     44.0000 0.992187500000      91654         128.00
     45.0000 0.992968750000      91756         142.22
     45.0000 0.993750000000      91756         160.00
     46.0000 0.994531250000      91826         182.86
     48.0000 0.995312500000      91913         213.33
     50.0000 0.996093750000      91982         256.00
     51.0000 0.996484375000      92009         284.44
     52.0000 0.996875000000      92034         320.00
     54.0000 0.997265625000      92075         365.71
     56.0000 0.997656250000      92108         426.67
     58.0000 0.998046875000      92142         512.00
     60.0000 0.998242187500      92172         568.89
     61.0000 0.998437500000      92186         640.00
     63.0000 0.998632812500      92205         731.43
     65.0000 0.998828125000      92221         853.33
     66.0000 0.999023437500      92233        1024.00
     67.0000 0.999121093750      92244        1137.78
     68.0000 0.999218750000      92253        1280.00
     69.0000 0.999316406250      92260        1462.86
     72.0000 0.999414062500      92270        1706.67
     74.0000 0.999511718750      92280        2048.00
     75.0000 0.999560546875      92283        2275.56
     77.0000 0.999609375000      92288        2560.00
     79.0000 0.999658203125      92293        2925.71
     80.0000 0.999707031250      92296        3413.33
     81.0000 0.999755859375      92300        4096.00
     83.0000 0.999780273438      92302        4551.11
     84.0000 0.999804687500      92307        5120.00
     84.0000 0.999829101563      92307        5851.43
     87.0000 0.999853515625      92309        6826.67
     89.0000 0.999877929688      92311        8192.00
     90.0000 0.999890136719      92312        9102.22
     91.0000 0.999902343750      92313       10240.00
     97.0000 0.999914550781      92315       11702.86
     99.0000 0.999926757813      92316       13653.33
    100.0000 0.999938964844      92318       16384.00
    100.0000 0.999945068359      92318       18204.44
    100.0000 0.999951171875      92318       20480.00
    101.0000 0.999957275391      92319       23405.71
    101.0000 0.999963378906      92319       27306.67
    114.0000 0.999969482422      92320       32768.00
    114.0000 0.999972534180      92320       36408.89
    114.0000 0.999975585938      92320       40960.00
    120.0000 0.999978637695      92321       46811.43
    120.0000 0.999981689453      92321       54613.33
    120.0000 0.999984741211      92321       65536.00
    120.0000 0.999986267090      92321       72817.78
    120.0000 0.999987792969      92321       81920.00
    177.0000 0.999989318848      92322       93622.86

